rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,publishedDate
5,"We took the tasting set and it was a wonderful experience. The waiter Bartosz was extremely kind and pleasant, a real professional",Nice to attend,,,Roving15163922292,2024-12-15
5,"A group of 8 happy ladies spent time with Adam and a good choice of different whisky’s. He presented different options, from various countries, all served with a good vibe in Eliksir. A relaxed place with an excellent selections of whisky! ",Whisky tasting,"Buenos Aires, Argentina",Buenos Aires,MarenAnneth,2024-02-03
5,Amazing food with a wonderful atmosphere. Tasting menu with paired cocktails is a must. Service is outstanding with very knowledgable staff. Will definitely be coming back.,Perfect place for a special occasion.,,,LollyS123,2024-12-08
5,"The food is delicious.  Mr. Bartosz patiently listened to questions and talked about the dishes. He demonstrated knowledge of the origins of the products used in delicious dishes. Elixir for the body and 
 spirit.",ELIKSIR restaurant for body and spirit,,,Z7197PBbeatag,2024-12-08
5,"Best recommendation- we had a lovely evening and the meal was so delicious and tasteful. Our host Zuzanna and Gaja were so sweet and professionally .. best recommendation from Denmark 🇩🇰 
⭐️⭐️⭐️⭐️⭐️ Family Stenild Bjerg","fantastic dinner, staff and surroundings",,,alicesR5767TY,2024-12-07
5,A Wonderfull place with a great experience with the most amazing waitress and food you could ask for🙌 the waitresses where sweet and introduced us nicely to everything,The Best waitresses you could ask for,,,mariussZ5826WR,2024-12-07
5,"Absolutely fantastic Service, especially Gaja, their wine expert. So good food and drink. Exciting taste experience, of a lot of impressions.
Can definitely be recommended.",Fantastic service and food,"Majorca, Spain",Majorca,maibjerg,2024-12-07
5,"An excellent place at a high level. Each subsequent dish was equally delicious. We especially liked the sour rye soup. Mrs. Zuzanna made sure that our dinner went smoothly. Kudos to the entire Elixir ""crew.""",Perfectly,"Krakow, Poland",Krakow,roburthere,2024-12-07
5,"Excellent food and cocktails, everything tasted and went well together. Nice decor, clean, professional service.",I recommend,"Gdansk, Poland",Gdansk,MarikaAnnaPl,2024-12-06
5,"Zuzanna and Maciej made the evening wonderful. We were skeptical about the cocktail package but were pleasantly surprised! All the drinks were amazing in combination with the food! 
Highly recommended!",Must try,,,978johannesp,2024-12-05
5,"This is one of the best restaurant experiences we have had - not only in Gdansk, but ever. 

3 hours of culinary delights, brilliant service, fantastic cocktails and a great atmosphere. 
We ordered the tasting menu, one vegetarian, one with meat/fish, with cocktail pairing. This is highly recommended, then you really get to taste everything. 

NB: I'm not a vegetarian and love both meat and fish, but I didn't miss anything, and thought several times that the vegetarian dishes were even better than the meat dishes. 

Our waiter Bartek was brilliant and the service was superb from the time we arrived until we left. 

We will be back!",A wonderful experience!,"Larvik Municipality, Norway",Larvik Municipality,Chrissastina,2024-12-01
5,"The highlight of the experience is undoubtedly the pairing menu, where every dish is expertly matched with a handcrafted cocktail designed to complement and enhance its flavors. For example, the gravlax we had was paired with a dill-infused cocktail, which beautifully elevated the fresh, delicate flavors of the salmon. The herbal notes of the drink harmonized perfectly with the dish, creating a memorable and unique taste experience. This level of thoughtfulness and creativity in the pairings truly sets Eliksir apart, making each combination feel like a carefully curated journey through flavor.",Try it. Just it♥️,,,lauragP1358CE,2024-12-01
5,"Amazing experience for anyone that appreciates good food and drinks. Every dish was an adventure in itself and the taste great and presentation lovely for the eyes and other senses.

Fun and attentive service from the staff Maciej and Kasia. The atmosphere is relaxed but stylish at the same time. Very thankful we visited the place!",If you enjoy good food its a must!,,,446emelieb,2024-11-30
5,"Fantastic food, atmosphere and staff. Great service and magic cocktails. Thanks to Zuzanna and the other staff that gave us a great evening🙏🏼","Great food, service and atmosphere!",,,mathiashE3616MY,2024-11-30
5,Really lovely atmosphere and nice and attentive staff! The food was Amazing and the cocktails fun and innovative -would defenitly recomend!,Worth a visit,,,Q7304MVleab,2024-11-29
5,Excellent food and great service! Would absolutely recommend the tasting menu together with the cocktail paring! Would love to visit again!,Excellent food and great service!,"Bergen, Norway",Bergen,Happiness66636843723,2024-11-29
5,"After being recommended Eliksir, we chose to visit the restaurant when we were in Gdansk. From the menu we found ""Tasting menu"" with ""Cocktail pairing"". Appetizers, main courses and desserts ended with 3 confectionary chocolates in beautiful packaging. For 3 hours we tasted the most wonderful dishes with customized drinks. 
A fun surprise was that sorbet was prepared with liquid nitrogen at our table. 
Eliksir gave us an unforgettable taste experience with high-standard service. Our waiter Maciej was very knowledgeable and with his good humor he contributed to us having a perfect evening. Eliksir's alcohol-free ""Cocktail pairing"" menu was highly appreciated by my wife.",Fantastic taste experience with unexpected entertainment,"Bergen, Norway",Bergen,N7577JFerikb,2024-11-29
4,"We went for the traditional set menu with a cocktail for each course. The first courses were perhaps a little special and a little adult for our palate, but from the main courses onwards I have nothing to complain about the food. 
If we had to choose again, we would have ditched the cocktail and gone for some good red wine by the glass. 

The cocktail was a bit too special and reminded me of some old dessert wine.","Good, but rather go for wine than cocktail package.","Oslo, Norway",Oslo,kristinahH4581YN,2024-11-23
5,The tasting menu was wonderfully composed and surprising. I recommend it to everyone. Service and support at a very high level.,Tasting menu,,,261edytat,2024-11-17
5,We had the incredible tasting menu with cocktail pairing. The food was of this world so good and the cocktails really interesting. It was an experience for sure!,Amazing,"Vaxjo, Sweden",Vaxjo,pontusferm,2024-11-12
5,"This place exceeded our expectations! The ambiance was cozy yet modern, and the service was fantastic—friendly and attentive without being intrusive. We can personally thank Mr Maciej for that part. The food was incredible. 
When it comes to cocktails, Mr Mateusz is a true artist. The staff was super knowledgeable in general. 
This place is a must-visit.","An experience, not a restaurant",,,mareka966,2024-11-08
5,"There are places where they worry about selling you food and others where they worry about making you feel good: from the friendly welcome to the relaxed atmosphere, from the unexpected tastes to the exquisite and well-trained staff, everything here seems aimed at your well-being. I was truly amazed by the wonderful journey of tastes that I took on this evening at the Eliksir where, despite my multiple intolerances, I lived an unforgettable experience and every delicacy was masterfully accompanied by its cocktail in a mutual exaltation of taste sensations.
An emotional experience to absolutely recommend.",Dedicated to people,"Cremona, Italy",Cremona,anitasaradini,2024-11-03
5,"Great cocktails at the bar by Mateusz,
attentive and well-spoken service by Bartosz and an immaculate and overall well-rounded experience with our sommelier Gaja who not only provided us with great service but also tips for other places / experiences in Gdańsk. Definitely worth the visit!",Well spent birthday dinner,,,itsnotismi,2024-11-02
5,"It was very tasty. Interesting presentation. The strongest point of the place is the wonderful staff - several people serve you all the time! beautiful interior. Unfortunately, we didn't drink alcohol, but I highly recommend it because seeing what's going on at the tables next door, the cocktails are really leaking, the only thing I would work on is the pace...",Perfect,"Gdansk, Poland",Gdansk,OmmTomm,2024-11-01
5,"Nice that Michelin has opened its eyes to the tricity. We ate on a Monday evening 2 different vegetarian menus and a regular menu with alcohol-free and cocktail pairings.
Both menus finely coordinated and with delicious taste / nice presentation. Knowledgeable waiters who provide attentive service. Can only be recommended 
Special gift for the short story about their local suppliers.
Cool place!!",Delicious,"Horsens, Denmark",Horsens,krollemorten,2024-10-21
3,"We booked finner with coctail-paring. 
Ordered Dark&stormy as aperitiff - il terrible!!! Tasted only alkohol. Please send the coctail-guys to GreatGatsby inGdansk to learn about tasty cocktails. 
The food was great, but the drinks Nubbe and Espresso martini below pari.",Not so great,,,torilda37,2024-10-20
5,"We ate the tasting menu with accompanying drinks and everything was delicious! The service is excellent and the crockery with nicely laid out food is an extra plus. Quite a lot of food, we were all full! Considering the price, it is perhaps on the verge of high. Everything was super tasty but not the great taste sensation we had expected.",Good food at a high price,,,oskarr851,2024-10-14
5,"Great experience, delicious cuisine, very cool opportunities. The waitress Kasia took complete care of us. In addition, the dishes are regional, there are vegetarian, vegan and gluten-free options. The service is heavenly.",Great place!,,,741martat,2024-10-13
5,"We would like to thank the entire Eliksir team for the exceptional organization of our wedding. Your professional service, attention to every detail and wonderful atmosphere made this day truly unforgettable for us.

We are extremely grateful for the delicious food, support and warm attitude towards our guests. Thanks to you, we felt at ease and could fully enjoy this important event.

We would like to thank you from the bottom of our hearts for creating a wonderful atmosphere and meeting all our expectations. This day wouldn't be so perfect without you!",Wedding dinner,,,T2416NHagatab,2024-10-08
5,"We had a super experience at Eliksir. The food and service was outstanding , and we had this really cool guy named Bartosz, as our waiter for the evening. He was funny, quick-witted and gave us everything we needed for a pleasant dinner.
Definitely recommend!",Excellent!,,,Journey46431544973,2024-10-06
5,"We had booked a table in advance. Took a taxi to the restaurant which is a 15 minute drive from the old town of Gdansk. Paid PLN 60 for the drive to the restaurant. We ordered a full tasting menu PLN 429 and a drink package PLN 299 per person. It was lovely from start to finish and worth every penny. Many thanks to our wonderful waiter, Maciej for a great experience.",Fantastic food and drink,"Jessheim, Norway",Jessheim,WencheR,2024-10-04
5,"Incredible food, all dishes were absolutely fabolous. Very warm and relaxed personell. Really enjoyable evening in Gdansk",Enjoyable,,,_yvindt741,2024-10-03
5,"We had an amazing evening at Eleksir, enjoying a 7-course dinner with dessert and matching cocktails. Every dish was a wonderful surprise, filled with flavors and creativity.

Our server, Maciej, made the night even more special. He explained each dish in an exciting way, making us appreciate the food even more. His friendly and professional service left a lasting impression.

From the first bite to the last sip, everything was just perfect. We can’t wait to come back and see what new dishes Eleksir has in store for us!

Highly recommended if you want a truly memorable dining experience!",Eleksir - A Culinary Experience Like No Other,,,414espenh,2024-09-29
5,"Yes, yes, yes! In this place, everything fits together in every respect. My friend and I chose the elixir as an alternative to a ""girls' night"" to celebrate a birthday and we couldn't have chosen a better choice. We will certainly remember this visit for a long time. 
From the very entrance, the staff takes care of a very friendly atmosphere, so that you feel like you are with your friends at dinner, among others, by introducing the Eliksir crew and the Chef or revealing a few interesting facts about the restaurant.
We both chose the standard menu option with cocktail pairing - one with alcohol, the other without. Imagine our surprise when, after our first drink, we had doubts whether the free alcohol option was really 0% (of course it was). Be sure to stop by Eliksir to see that the world does not end with the virgin mojito, the non-alcoholic cocktails were just as surprising, more than once and more than their alcoholic equivalents.
Delicious dishes - phenomenally delicate tartare, delicate veal with a few seemingly simple but brilliantly selected additions and an amazing Kashubian tiramisu, in which the Italian classic perfectly harmonizes with the memory of childhood and the taste of strawberries from grandma's compote. Each dish combines different textures, which further enhances the taste experience.
If you are looking for simple, yet non-obvious and original combinations and at the same time an elegant place, but without a stiff atmosphere and pompousness, you couldn't have found a better place. I recommend Elixir! We will definitely come back here again. :)",Phenomenal experience and surprising food pairing with cocktails,,,F5201YBmarzenas,2024-09-28
5,"Best experience in Poland. Host very funny, and nice, our weiter bartek was super professional and I can say that I’m very happy 🫶🏻 

Thank you very much for this experience, I will comeback in the future for sure. 

I get a cute Olaf as well ✨",Thank you for your Olaf and for make me laught 🤍,,,183duaa,2024-09-27
5,"Really good food and service! My Morcella dish was abaolutely divine! A true 10/10, which is rare these days! Loved it so much.",Absolutely amazing!,,,jasmitc2024,2024-09-27
5,"Fantastic dinner with cocktail menu
Cozy place, good food, well-matched drinks, good service. The evening flew by. Definitely did not disappoint.",Fantastic,"Aalborg, Denmark",Aalborg,MariaDO123,2024-09-26
5,"Very good tasting menu!
We had 6 courses and 4 great drinks ❤️
Maciej and Ola served us and they provided us with full experience.
Definitely recommend!",Yum yum,"Darlowo, Poland",Darlowo,iganowacka,2024-09-24
5,We tried the degustation menu and all was amazing. Ola and Maciej were extremely nice throughout the whole dinner and explained every meal to us.,Amazing food and service!!,,,V8130BFtiagoc,2024-09-24
5,The best eating experience in Gdansk:) thank you Bartosz for your excellent and nice serving:))very delicious food as well as very beautiful appearance of the food))),Positive feedback,,,R189NAevav,2024-09-23
5,"Fantastic place, excellent service, our waiter Maciek was professional and very kind, just brilliant! Food was well executed and beautifully presented! Overall exquisite experience! We’ll be back for sure! Can’t wait to eat here again!",Amazing restaurant in Gdańsk,,,620igah,2024-09-23
5,"Tasting of 5 drinks. Perfectly prepared, everything was thoroughly explained to us by the bartender, Adam. Each one had a unique taste and we liked them very much, even though we don't know anything about drinks and alcohol. Thank you for a nice time :)",Drink tasting,,,monika_K76WZ,2024-09-22
