rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,publishedDate
5,"Great family meal for our goddaughter's birthday, a beautiful table of 26 people, all served at the same time, and an excellent meal from starter to dessert. Thank you to the family for this beautiful day",Family meal,,,dorothees235,2024-10-06
4,"A small and cozy place close to the market square.
Interesting selection of pizzas. Good ingredient. Very nice service. Beers from a local brewery.",Nice and out of the way,,,mincel82,2024-09-13
5,"Really great pizzas! Crunchy bottom, lots of flavor and lovely atmosphere. The hot pizzas are really hot (!!) but at the same time the best pizzas we have eaten. Cozy patio to sit on where it's a little quieter and has a little garden feel. Visit if you want a good and quick lunch!",Fantastic!,,,Resetipsaren,2024-08-08
4,La Famiglia  is a perfect place to eat if you dont want to be in the middle of the main street surrounded by a lot of people. The atmosphere of the tables outside is wonderful and you have a great view up on the church. The food was good but the location of the pizzeria was in my opinion what was best about La Famiglia.,Great Located pizzaplace with wonderful atmosphere and good pizza,,,fredrikskrt123,2024-07-30
5,"We ordered 3 different pizzas, all very tasty but the one with truffle paste was amazing!! Very nice service, everything was served efficiently, cleanly and in a nice location. I recommend",Delicious pizza with truffle paste,,,maryshas2017,2024-07-19
2,"Dry pizza that tasted little. Thin bottom with almost no crust. Do not recommend. They had good beer then as the only plus, Johannes light.",Not recommended,Norway,Norway,Jet00407344097,2024-07-04
4,"Very good pizzas. A hole in the wall that can easily be missed. Make sure not to do that!
Skilled and attentive waitresses. Totally ok price range",Recommended,,,Erikann123,2024-06-22
2,"When we were to order a pizza, there were 2 pizzas they didn't have ingredients for. The pizza is thin and has little taste. When we had paid and left the restaurant, we also saw that the waiter had charged for 1 extra soft drink.",Not very good pizza.,,,A3985FImartins,2024-05-11
4,"Good pizza served in a quiet alley. The food arrived quickly and the service was pleasant. 
A little too much truffle flavor on one pizza, but it's taste and pleasure!",God pizza!,,,P4868PPveronicaa,2024-04-13
5,"Small cozy pizzeria - perhaps most lunch place.
Super delicious pizzas - delicious thin base 
The best recommendations from here",Super delicious pizza,"Viborg, Denmark",Viborg,IngePViborg,2024-03-26
5,"Excellent little cozy pizzeria with Italian inspired pizzas.
Polite and discreet staff served a lovely lunch.",Perhaps the best pizza in town,"Viborg, Denmark",Viborg,Traveler33814363175,2024-03-26
5,"Typical small pizza place with tasty pizza, nice staff and reasonable prices, right in the middle of old Gdansk city. Beer there is not draught but bottled. However fresh. 
I was hungry and pizza was well made to eat that all! Can recommend. It is not on the main street located but it is better. And also it opens earlier then most of others restaurants in the old city!",Good pizza in the city center!,"Espoo, Finland",Espoo,Stalevar,2024-03-06
5,Great place for a simple Lunch. Great walking distance from the main strevet. The pizza were thin and crispy.,Good Lunch spot.,,,246siljes,2023-12-04
5,Beautiful small place with good pizza and nice service. We have enjoyed it❤and my son thinks this is one of best pizzas he ate this year!,5🌟,"Kongsberg, Norway",Kongsberg,diasavu,2023-10-27
5,Small and located on a side street but well worth a detour. Good food and wine in a family environment. Excellent place.,Pizza in Gdańsk,"Stockholm, Sweden",Stockholm,D3390NWmartin,2023-09-30
1,"I have dined at La Famiglia before and the pizzas were reasonable.  Yesterday I was passing by and since I knew the place and the nature called and I needed to use the toilet, I asked for using it. One of the the girls there said bluntly that I needed to pay 5 zloty. When I reacted all the staff there just laughed at me as I was leaving. I did not want to pay the bribe that's why I left.  It takes more than just selling pizzas to be really a family ( La Famiglia ) place. You may satisfy your hunger there but there is a dark side of that ""Family"".  People working there are questionable, they actually seem immature.  You never know what you can confront. I would avoid this place.   ",Dark side of The Family,,,bogieb908,2023-09-03
3,"A simple family pizzeria with a very small but cozy dining area inside. When the weather is good, it is more pleasant to sit on the terrace. 
We were guided by the very good reviews on Tripadvisor and by the price indication of € 1, and that set our expectations at a high level.
We ordered a vegetarian pizza and a meat calzone pizza.
Both pizzas were very tasty and tasty. The prices in 2023 will no longer be as cheap as the photos (from 2016) of the menu on Tripadvisor make it out. My pizza calzone cost 42 złoty.  It has become considerably more expensive in just a few years. Price-quality is still very good compared to Western European prices. 
The diverse choice of Polish beers are correctly priced. A downside was the red house wine, which disappointed on all levels.  So not recommended. Slightly dull taste, like too much water in wine.
Total bill was 115 złoty for two pizzas, a glass of house wine and a 0.5 L beer
. And despite the price increases over the years, that remains a very fair and pleasant experience.",Charming simple pizzeria for a fair price,"Antwerp, Belgium",Antwerp,Kristof_L_A,2023-08-07
5,"Incredibly good pizza with a thin crust. Despite a hot day, it was airy and good to sit on the outdoor terrace.  Don't be fooled by the modest facade, there is good pizza here. 
We actually tried the night before, but arrived right at closing time. Opted to go back for lunch the next day and certainly don't regret it.",Very good pizza,,,Trek08925507077,2023-06-08
5,"Small and cozy restaurant in the side street. Very good pizza and good drinks in cozy surroundings, I would like to visit this restaurant again.",The Family,,,sigsteinr,2023-06-02
5,"Nice pizza place, such a friendly staff and quick service! As for the meal, the thin crust was just perfect and toppings of a really nice choice. Also nice outside area to pick the seat. Totally recommend.",Great pizza place :),"Lisburn, United Kingdom",Lisburn,iisla_o_87,2023-04-25
4,Delicious thin crust pizzas at a very competitive price. Good Italian wine. Sober place. Relaxing music. Friendly and competent staff,Well,"Valencia, Spain",Valencia,JOMIMOHE72,2023-01-05
5,"Tasty, thin crusted pizzas, high qualiy toppings, location easily accessable. Outstanding, friendly service, the waitress noticed the small things.",A small gem,"Ylitornio, Finland",Ylitornio,Lillegard,2022-12-03
5,Very nice and tasty! The toilet is fresh and the food is delivered quickly!  Really recommended! Extra good for families with children but also couples.,Delivered quickly,"Vaxjo, Sweden",Vaxjo,Wander18904679667,2022-12-03
4,"This small pizzeria serves very thin, good pizzas and good service, we can warmly recommend it to everyone who wants to eat a good pizza!!",Good pizzas,"Vaxjo, Sweden",Vaxjo,joransson,2022-11-07
5,"So good! 
Can highly recommend this little pizzeria!
Worth a visit! 
Affordable and very good! 👍👍👍👍👍👏👏👏👏👏👏👏👏👏👏👏👏👏👏",Super good place!,,,moabarrfelt,2022-11-07
