rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,travelDate
5,"The waiter, Ms. PATRYCHA, was very enthusiastic and made her chat very relaxing. I liked her service. I was also very satisfied with the food. It was delicious and the portions were large. All in all, it was a satisfying experience.",Very recommended,"Luang Prabang, Laos",Luang Prabang,Roam56916953772,2024-12
5,"Perfect service with hubert 🫶 love the drinks, the atmosfere and the food❤️ looking forword to Get back again between march and May 🫶",Perfect,,,theresemadeleine2024,2024-12
3,"A nice place with good staff.
The food was perfectly OK after you seasoned the meal yourself with salt and pepper. Worth a visit.",Nice place for a brunch,"Varberg, Sweden",Varberg,roberthc687,2024-12
2,"We have been here on every visit to Gdansk, and we were looking forward to another visit.
It was a disappointment. We were served by a waitress who was neither cheerful nor welcoming. We asked her about a drink we saw they served and wondered what it was, she answered grumpily that she didn't know, because it wasn't her who served it. Then we got a cold burger that didn't have the same quality as before at all. It didn't taste good.
When we were to pay, we were to pay in cash. We gave her 200 sloty, when the bill came to about 110. She then asked sourly if we should have change left. Then it was enough, we finally got change again, didn't give a tip (we always do that) and hurried out. Really disappointed, we'll find a new favorite restaurant next time.😳",We were disappointed this time.,"Drobak, Norway",Drobak,Badeanna,2024-12
5,"Really good and authentic American diner. We ate breakfast, which really delivered. Good music and good service! And incredibly centrally located, and a good view of the river! Recommended!",Authentic American experience in a good location,"Trondheim, Norway",Trondheim,estenh,2024-11
5,"Great service and attendance by the waiter, Adrian.
Excellent recommendations of food and beverages that turned out just perfect :-)","Great selection of food for the whole family, and excellent service.","Lund, Sweden",Lund,990mattiasl,2024-11
1,"Extremely bad food. Dry meat, tasteless meat, not finished potatoes, bad fries and inedible sauce. Can do anything but recommend, unfortunately.",Badly,"Vaxjo, Sweden",Vaxjo,pontusferm,2024-11
2,Food ok but service very poor. One person has to suddenly leave due to illness. We cancelled their order and they never brought the drink. But we still had to pay for it. But they never brought it!,Poor,"Sheffield, United Kingdom",Sheffield,Kingofgeography,2024-11
5,"Perfect service from Adrian at Billy’s at Forum Gdansk! The food was excellent and we got a very friendly welcome, we recommend!!",Adrian was very friendly!,,,V6681WQellas,2024-10
5,"Grate place for friends and families to eat. There are a couple of Billys restaurants, visited the one at the canal. Friendly attentive staff.",Worth visiting when in Gdańsk.,,,uteochreserminsann,2024-10
5,Great dining experience with exquisite food and top-notch service. Dominik’s recommendations for both the food and drinks were spot-on.,Great food and service,"Rijeka, Croatia",Rijeka,jakovm87,2024-10
5,"Really good American barbecue burger. Excellent service by Dominik.
I really enjoyed the food 
Highly recommended!!!",Great experience,"Amman, Jordan",Amman,DayTrip35679245262,2024-10
5,"The food was delicious, the staff was very helpful in choosing dishes. The interior design is interesting and customer-friendly. Regards, Laure",Super,,,W7499NNagnieszkab,2024-10
4,"The deserts are to die for, but the breakfast is boring and overpriced. - that is unless you have American pancakes. Cozy restaurant in the heart of old town.","Great deserts, boring breakfast","Bergen, Norway",Bergen,kristinelisel2024,2024-10
5,So nice food  with LARGE portions. Really worth visiting if you like american food. Nice staff. The location is good in the old city  close to the water.,Twice we were there during a few-day visit. It fits well! Good food with huge portions (the meat dishes).,"Stockholm County, Sweden",Stockholm County,K7234ODannal,2024-10
5,"Great place! 
Best food, served very fast, waitress Laura was incredible and very nice. 
We will definitely come back next time :)",Best American Burgers!,,,GoPlaces68093288355,2024-10
5,"Great atmosphere and top-class food, Mrs. Laura and a nice waitress who made the evening beautiful",Evening shaman,,,_ukaszr589,2024-10
5,Everything was great. Starting with the burger and ending with the service. We would especially like to thank the waitress Laura :) a very nice and friendly person!,Dominica,,,508dominikad,2024-10
5,It is a nice place with American diner vibes. Also enjoyed the songs playing on the background and our host Laura was very good.,Couple Lunch in Gdansk,,,264efemert_,2024-10
5,"Delicious food, great service, greetings to Laura, who made our afternoon more pleasant. We will recommend to everyone and come back",Super,"Gdansk, Poland",Gdansk,Curiosity42300871971,2024-10
5,"Very delicious burgers and steaks. I sincerely recommend this place and the waiter Marcin.
 I forgot about dessert, i.e. Oreo shakes, which are also worth recommending.",Very delicious burgers and steaks. I sincerely recommend this place and the waiter Marcin,"Gdansk, Poland",Gdansk,jeremiaszl2018,2024-10
5,"Mrs. Anastazja provided fantastic service and a very pleasant atmosphere. delicious meals. great place. great atmosphere, normal prices, in one word, a very successful trip",super,,,67szymong,2024-09
4,We recommend a restaurant in the heart of Gdańsk! Tasty food and lots of choice. Thank you Mrs. Laura for the nice service! Great location!,I recommend a restaurant with a view of the Crane,,,ma_gorzatai381,2024-10
5,Delicious food. Great atmosphere and even better views 😉 Very nice customer service. Thanks to the waitress Laura. I recommend,Great food 😉,,,218_ukaszi,2024-10
5,We are very pleased with the service provided by Ms. Anastazja! The winter tea was a perfect way to start the day! Food at a high level!,We recommend!,,,nataliaisebastiann,2024-10
5,This is a fantastic restaurant; we went there for dinner and breakfast. The restaurant is close to everything and both dinner and breakfast was fantastic and the service was also fantastic; we had Laura for breakfast 😊 the portions are very big; we will definitely be back again 😊,Great restaurant,"Assens, Denmark",Assens,petpetthai,2024-10
5,"Lovely location by river , nice decor and the food was lovely ,  shared dishes as not too hungry . Was no problem , fajitas were tasty and the chicken  salad was tasty . Very reasonable prices . Peter our server was very attentive and gave us advice re food and chatted to us . Would recommend",Good food and great staff,"Bradford, United Kingdom",Bradford,jowetta,2024-10
4,"Good and very friendly service by Laura, 
She was nice to ask, and stopped by several times
We give her the best recommendations","We received good and friendly service from Laura, she was very smiling and welcoming....  Will definitely come again 😜",,,bentem285,2024-10
4,"Hello, if someone is looking for good burgers, tartare, potatoes, etc., you have chosen well, I also recommend teas... nice atmosphere and decor. Greetings to Mrs. Laura who is fighting for a raise 🙂☺️👍♥️",Super🚀🚀,,,3hubab,2024-10
5,"Right from the start, the restaurant made a huge impression on me. Mrs. Laura, who served us, is a woman of gold. We were taken care of from the very beginning to the end. The dishes were served quickly and warm. They met our expectations. I highly recommend it",I recommend!,,,Z6550YSdarias,2024-10
5,Everything was fine. Had propably best deserts ever (milkshakes and irish coffee). Staff was absolutely perfect. We will be back definetly later,Great job!,,,lehtojan,2024-10
1,"I cannot recommend this place. The service was disappointing and the food was served cold which ruined the experience. I expected more quality, but was unfortunately disappointed.",Not recommended,"Alesund, Norway",Alesund,satollas,2024-10
4,Great food! Great service! Helena was a cheerful and pleasant waitress. We are satisfied and will come back. Fun drinks afterwards,Nice,,,400sofieh,2024-10
5,"Delicious food, great service by Mrs. Laure. We were served after a storm, but the service was served with a smile.",Super,,,T1902OCpauls,2024-10
5,"The food was good. The avelanch was the best with great balanse between the blue cheese, Laura was a Nice server. Thank you",Good food,,,976leonv,2024-10
5,"Everything from food, drinks to atmosphere was great. I highly recommend one of the ""Iconic Dishes"" called Arizona, because it truly is an iconic and a delightful dish worth trying. Huge thanks to Laura for an amazing service!",Lovely experience,,,OnAir39925038242,2024-10
5,"Quickly served dishes, delicious food and great atmosphere. Greetings to Mrs. Laura for her professional, friendly service! :)",Super,,,Q2159CJanias,2024-10
5,our waiter was Jacob very sweet. The food was amazing. i got the california steak was perfect as well as the fresh pressed juice,Great food,,,374jackyt,2024-10
