rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,publishedDate
5,The food was great and the service was outstanding from our server Paula despite it being really busy. The decor and ambiance of the place was also really good.,Great food and service,,,tracy8204,2024-12-13
3,"Food was okay but if you want to stay warm keep your jacket on as basically half of the ground floor is freezing with the front door basically constantly being open.
The woman who is at main door is ignorant and not interested when you ask for a certain table although empty.
Saw two couples leave as had sat for ages and didn't have drinks .
There was live music on but the guy more or less spent a half hour sound checking come on mate your not singing for 20000 people .",Not very good.,"Glasgow, United Kingdom",Glasgow,davron41,2024-12-12
5,Excellent location. With excellent food and drinks. And of course the Best Service by Piotr #Daddy. We will come back.!!,The best Food,,,510eivinds,2024-12-01
5,Nice setting by the Motlawa River. Nice decor inside and excellent service. Both my wife and I had the steak on a lava stone. Very tasty. Definitely recommend coming here for any visitors to Gdansk.,Great steak and venue,"Aberdeen, United Kingdom",Aberdeen,Dandies73,2024-12-01
4,"Attached to the Radison hotel on the canal, we chose to visit here for late afternoon cocktail. Large restaurant steak house theme, didn’t eat here but looked nice. Cocktails very nice",Great cocktails,"Aberdeen, United Kingdom",Aberdeen,dajascot,2024-11-30
5,"Great meal, staff Paula and Simon very friendly and helpfull would definitely go back, shame their is not one in the sourh west off uk",Great place,,,paulcG9165EI,2024-11-25
5,"We had a lovely meal and the service was great by Simon. Highly recommend for a excellent meal and evening.

Steak was cooked to perfection and the sides of chips and ribs were great",Great restaurant,,,219natalyan,2024-11-24
2,"Arrived and waited in the queue as couldn’t book through website for some reason , queued for about 10 minutes to be dumped at the bar Even though I requested a table for two so assumed she would come back to us to give us a table but no sign of her after around 30 minutes and two drinks in, I eventually asked about an empty table but was told it was reserved  and we could order food at the bar  but she was seating other customers that was stood behind us also waiting in the queue and hadn’t reserved a table as they were stood behind us . We ordered food but the longer we sat the more annoyed I got as other couples where getting tables  whilst we where dumped and ignored at the bar so I asked the bartender to cancel our order as we where going  to leave 5 min later we got given a table . Food was lovely ( both had steak )  but the whole experience was a let down . 
Very disappointed as I went due to all the great reviews",Dumped at the bar,,,X1245PDcarolg,2024-11-23
5,"Fantastic place with delicious food and great atmosphere. Mia, our waitress, turned the dinner into a wonderful experience. Exuberant personality, beautiful smile and service like few others",Experienced by the rare,,,Flyer650408,2024-11-23
5,"Read about this restaurant online, whiskey in the jar, took us for dinner. When we entered we were greeted with early 90's music, people singing along enthusiastically and lots of smiles and laughter. In the middle of the room stood the most fascinating aquarium I've ever seen, sparkling with an old motorcycle and piranhas. Mia, our waitress, made our visit an experience. She made us feel prioritized and looked after. Beautiful smile, exuberant personality and, not least, service minded. Food, drink and atmosphere - just have to be experienced",An unforgettable restaurant visit!,"Oslo, Norway",Oslo,710juneh,2024-11-23
